Date,Team_1,Team_2,T1_Score,T2_Score,T1_Sum,T1_BP,T1_Ratio,T1_Srv_Sum,T1_Srv_Err,T1_Srv_Ace,T1_Srv_Eff,T1_Rec_Sum,T1_Rec_Err,T1_Rec_Pos,T1_Rec_Perf,T1_Att_Sum,T1_Att_Err,T1_Att_Blk,T1_Att_Kill,T1_Att_Kill_Perc,T1_Att_Eff,T1_Blk_Sum,T1_Blk_As,T2_Sum,T2_BP,T2_Ratio,T2_Srv_Sum,T2_Srv_Err,T2_Srv_Ace,T2_Srv_Eff,T2_Rec_Sum,T2_Rec_Err,T2_Rec_Pos,T2_Rec_Perf,T2_Att_Sum,T2_Att_Err,T2_Att_Blk,T2_Att_Kill,T2_Att_Kill_Perc,T2_Att_Eff,T2_Blk_Sum,T2_Blk_As
"11.01.2019, 20:30",GKS Katowice,Trefl Gdańsk,3,1,66,100,7,16,"1,75",69,2,22,31,44%,13,18%,102,11,3,53,52%,6,"1,50",58,87,2,18,"0,50",84,7,18,48,57%,22,26%,109,16,6,53,49%,3,"0,75"
"11.01.2019, 17:30",MKS Będzin,PGE Skra Bełchatów,0,3,42,57,2,10,"0,67",67,5,19,31,46%,19,28%,81,3,14,37,46%,3,"1,00",61,74,5,7,"1,67",47,2,11,24,51%,14,29%,78,5,3,42,54%,14,"4,67"
"19.01.2019, 20:30",Chemik Bydgoszcz,ZAKSA Kędzierzyn-Koźle,0,3,37,56,2,9,"0,67",61,6,22,29,47%,9,14%,74,4,8,33,45%,2,"0,67",58,73,6,12,"2,00",47,2,12,25,53%,13,27%,73,3,2,44,60%,8,"2,67"
"11.03.2019, 20:30",Trefl Gdańsk,PGE Skra Bełchatów,2,3,74,111,4,19,"0,80",82,6,23,41,50%,14,17%,119,6,6,56,47%,14,"2,80",77,109,6,27,"1,20",92,4,21,42,45%,17,18%,144,8,14,65,45%,6,"1,20"
"21.01.2019, 20:30",MKS Będzin,Indykpol AZS Olsztyn,0,3,57,71,3,14,"1,00",79,7,20,36,45%,23,29%,108,7,13,46,43%,8,"2,67",63,86,7,7,"2,33",57,3,18,24,42%,10,17%,100,3,8,43,43%,13,"4,33"
"20.01.2019, 17:30",GKS Katowice,Asseco Resovia Rzeszów,3,0,49,73,6,9,"2,00",47,3,19,18,38%,5,10%,68,3,4,34,50%,9,"3,00",49,64,3,17,"1,00",64,6,23,29,45%,18,28%,90,8,9,42,47%,4,"1,33"
"18.01.2019, 17:30",Cerrad Czarni Radom,Cuprum Lubin,3,1,74,89,8,14,"2,00",74,6,18,40,54%,23,31%,97,4,8,62,64%,4,"1,00",59,83,6,9,"1,50",75,8,29,29,38%,12,16%,87,3,4,45,52%,8,"2,00"
"19.01.2019, 14:45",Aluron Virtu Warta Zawiercie,ONICO Warszawa,3,1,67,96,10,23,"2,50",70,3,25,30,42%,9,12%,97,6,13,46,47%,11,"2,75",60,91,3,21,"0,75",73,10,24,27,36%,13,17%,96,5,11,44,46%,13,"3,25"
"30.01.2019, 20:30",Aluron Virtu Warta Zawiercie,Chemik Bydgoszcz,3,1,79,102,9,17,"2,25",80,5,20,44,55%,6,7%,117,9,12,58,50%,12,"3,00",69,98,5,18,"1,25",85,9,31,29,34%,4,4%,110,7,12,52,47%,12,"3,00"
"02.02.2019, 17:30",ONICO Warszawa,Cerrad Czarni Radom,3,0,54,73,5,15,"1,67",41,1,8,22,53%,10,24%,70,4,7,38,54%,11,"3,67",36,58,1,17,"0,33",58,5,20,19,32%,9,15%,69,3,11,28,41%,7,"2,33"
